packet_id,true_condition,scenario_id,seed,json_path,calibration
E166A4DF,C4,SC_1316,42,outputs/main/C4/SC_1316_42.json,False
F12506D5,C4,SC_2219,91,outputs/main/C4/SC_2219_91.json,False
AEDF81DD,C4,SC_1959,91,outputs/main/C4/SC_1959_91.json,False
A303428D,C4,SC_0265,91,outputs/main/C4/SC_0265_91.json,False
87759B79,C4,SC_0921,42,outputs/main/C4/SC_0921_42.json,False
E4706AD4,C4,SC_0243,42,outputs/main/C4/SC_0243_42.json,False
00EAC513,C4,SC_1994,17,outputs/main/C4/SC_1994_17.json,False
860B083C,C4,SC_1927,91,outputs/main/C4/SC_1927_91.json,False
B74B29AA,C4,SC_0725,91,outputs/main/C4/SC_0725_91.json,False
D1B6CEA4,C4,SC_2147,91,outputs/main/C4/SC_2147_91.json,False
A8A091CD,C4,SC_0448,91,outputs/main/C4/SC_0448_91.json,False
29AC5F26,C4,SC_1786,17,outputs/main/C4/SC_1786_17.json,False
82F4A506,C4,SC_0195,91,outputs/main/C4/SC_0195_91.json,False
C3374679,C4,SC_0561,42,outputs/main/C4/SC_0561_42.json,False
4220C048,C4,SC_0809,91,outputs/main/C4/SC_0809_91.json,False
E7AF6CB8,C4,SC_1691,91,outputs/main/C4/SC_1691_91.json,False
08000100,C4,SC_0014,17,outputs/main/C4/SC_0014_17.json,False
22AEA8DB,C4,SC_0292,17,outputs/main/C4/SC_0292_17.json,False
919745F9,C4,SC_1515,91,outputs/main/C4/SC_1515_91.json,False
924197E6,C4,SC_0570,42,outputs/main/C4/SC_0570_42.json,False
